tarih,bölüm,çekim,karakterler,sesler,süre_sn,çözünürlük,seed,kredi,dolar,durum,video_url,yerel_dosya
2026-09-13 12:47,1,1,,,4,1080p,,63.0,0.315,ok,https://tempfile.aiquickdraw.com/v/9559ca2768a91b3cb4b9cf54de3ff67e_1789328851.mp4,C:\Users\ihsan\Desktop\Antigravity\Projeler\Youtube\output\series\still-home\episodes\ep01\shots\shot_01.mp4
2026-09-13 12:51,1,2,,,4,1080p,,126.0,0.63,ok,https://tempfile.aiquickdraw.com/v/fdf9b745d3128ebb64317c62956442b2_1789328947.mp4,C:\Users\ihsan\Desktop\Antigravity\Projeler\Youtube\output\series\still-home\episodes\ep01\shots\shot_02.mp4
2026-09-14 23:21,2,1,,,4,1080p,,63.0,0.315,ok,https://tempfile.aiquickdraw.com/v/6ed98126eb16bf8538481df9a2d9a8a0_1789428039.mp4,/home/runner/work/youtube-automation/youtube-automation/output/series/still-home/episodes/ep02/shots/shot_01.mp4
2026-09-14 23:22,2,2,,,4,1080p,,63.0,0.315,ok,https://tempfile.aiquickdraw.com/v/5d98e83e0ba66ed61b2b1e897432d0c2_1789428145.mp4,/home/runner/work/youtube-automation/youtube-automation/output/series/still-home/episodes/ep02/shots/shot_02.mp4
2026-09-15 23:09,3,1,,,4,1080p,,63.0,0.315,ok,https://tempfile.aiquickdraw.com/v/58f84e11e2d794e8f24643cce7c147e8_1789513775.mp4,/home/runner/work/youtube-automation/youtube-automation/output/series/still-home/episodes/ep03/shots/shot_01.mp4
2026-09-15 23:13,3,2,,,4,1080p,,126.0,0.63,qc_fail,https://tempfile.aiquickdraw.com/v/26f1a9dcecc1d9ebd29c007a242923b6_1789513878.mp4,/home/runner/work/youtube-automation/youtube-automation/output/series/still-home/episodes/ep03/shots/shot_02.mp4
2026-09-16 23:12,3,1,,,4,1080p,,63.0,0.315,ok,https://tempfile.aiquickdraw.com/v/9c5f551af07c9ca441b619a615193375_0_1789600311.mp4,/home/runner/work/youtube-automation/youtube-automation/output/series/still-home/episodes/ep03/shots/shot_01.mp4
2026-09-16 23:21,3,2,,,4,1080p,,189.0,0.945,ok,https://tempfile.aiquickdraw.com/v/09f8b02bc33def65ef83f1837306efc5_0_1789600594.mp4,/home/runner/work/youtube-automation/youtube-automation/output/series/still-home/episodes/ep03/shots/shot_02.mp4
2026-09-16 23:23,3,3,,,4,1080p,,63.0,0.315,ok,https://tempfile.aiquickdraw.com/v/a397d0f5063edbec7ed33780a5c55f17_0_1789600999.mp4,/home/runner/work/youtube-automation/youtube-automation/output/series/still-home/episodes/ep03/shots/shot_03.mp4
2026-09-16 23:26,3,4,,,4,1080p,,63.0,0.315,ok,https://tempfile.aiquickdraw.com/v/3a8ecef34c44dcc4bd69c68936a3c01c_0_1789601151.mp4,/home/runner/work/youtube-automation/youtube-automation/output/series/still-home/episodes/ep03/shots/shot_04.mp4
