tarih,bölüm,çekim,karakterler,sesler,süre_sn,çözünürlük,seed,kredi,dolar,durum,video_url,yerel_dosya
2026-07-03 16:07,1,1,,,8,1080p,,105.0,0.525,ok,https://tempfile.aiquickdraw.com/v/7a9e18c25d90d4e056dd4532246d5d6b_1783094827.mp4,/home/runner/work/youtube-automation/youtube-automation/output/series/drowned-history/episodes/ep01/shots/shot_01.mp4
2026-07-03 16:12,1,2,,,8,1080p,,105.0,0.525,ok,https://tempfile.aiquickdraw.com/v/8a3968fd3addbbf8958363875b37702f_1783095115.mp4,/home/runner/work/youtube-automation/youtube-automation/output/series/drowned-history/episodes/ep01/shots/shot_02.mp4
2026-07-03 16:18,1,3,,,8,1080p,,105.0,0.525,ok,https://tempfile.aiquickdraw.com/v/2ca3e977cd3c09804dd8fa76bb234c63_1783095470.mp4,/home/runner/work/youtube-automation/youtube-automation/output/series/drowned-history/episodes/ep01/shots/shot_03.mp4
2026-07-03 16:22,1,4,,,8,1080p,,105.0,0.525,ok,https://tempfile.aiquickdraw.com/v/454148f794f5d48af8e4f97acf60478e_1783095729.mp4,/home/runner/work/youtube-automation/youtube-automation/output/series/drowned-history/episodes/ep01/shots/shot_04.mp4
2026-07-03 16:29,1,5,,,8,1080p,,105.0,0.525,ok,https://tempfile.aiquickdraw.com/v/84e7bb29577fcfa89e09f394920642aa_1783096140.mp4,/home/runner/work/youtube-automation/youtube-automation/output/series/drowned-history/episodes/ep01/shots/shot_05.mp4
2026-07-03 16:38,1,6,,,8,1080p,,105.0,0.525,ok,https://tempfile.aiquickdraw.com/v/af8bf3dabdc7645eb40acb839ffa32e9_1783096685.mp4,/home/runner/work/youtube-automation/youtube-automation/output/series/drowned-history/episodes/ep01/shots/shot_06.mp4
2026-07-04 21:32,2,1,,,8,1080p,,105.0,0.525,ok,https://tempfile.aiquickdraw.com/v/53427c5a8fa41fd96fc1f18e9022531d_1783200698.mp4,/home/runner/work/youtube-automation/youtube-automation/output/series/drowned-history/episodes/ep02/shots/shot_01.mp4
2026-07-04 21:36,2,2,,,8,1080p,,105.0,0.525,ok,https://tempfile.aiquickdraw.com/v/7031edcf127df94ec07bb9447e1bc803_1783200955.mp4,/home/runner/work/youtube-automation/youtube-automation/output/series/drowned-history/episodes/ep02/shots/shot_02.mp4
2026-07-04 21:42,2,3,,,8,1080p,,105.0,0.525,ok,https://tempfile.aiquickdraw.com/v/cae99debb4b39e700c3d87668764609e_1783201343.mp4,/home/runner/work/youtube-automation/youtube-automation/output/series/drowned-history/episodes/ep02/shots/shot_03.mp4
2026-07-04 21:50,2,4,,,8,1080p,,105.0,0.525,ok,https://tempfile.aiquickdraw.com/vw/2125d50f0813462b2c5c4b849c5e8ffb.mp4,/home/runner/work/youtube-automation/youtube-automation/output/series/drowned-history/episodes/ep02/shots/shot_04.mp4
2026-07-04 21:52,2,5,,,8,1080p,,105.0,0.525,ok,https://tempfile.aiquickdraw.com/v/db772160c641459c473837b1b201b32b_1783201943.mp4,/home/runner/work/youtube-automation/youtube-automation/output/series/drowned-history/episodes/ep02/shots/shot_05.mp4
2026-07-05 21:38,3,1,,,8,1080p,,105.0,0.525,ok,https://tempfile.aiquickdraw.com/v/ff5112713b8f7b439c68c1b944a60ad7_1783287466.mp4,/home/runner/work/youtube-automation/youtube-automation/output/series/drowned-history/episodes/ep03/shots/shot_01.mp4
2026-07-05 21:43,3,2,,,8,1080p,,105.0,0.525,ok,https://tempfile.aiquickdraw.com/v/9be5fff29649f73c70dc33c92ac220c5_1783287754.mp4,/home/runner/work/youtube-automation/youtube-automation/output/series/drowned-history/episodes/ep03/shots/shot_02.mp4
2026-07-05 21:46,3,3,,,8,1080p,,105.0,0.525,ok,https://tempfile.aiquickdraw.com/v/75af4fc4ba2c2f8f4c1ad21633479338_1783287938.mp4,/home/runner/work/youtube-automation/youtube-automation/output/series/drowned-history/episodes/ep03/shots/shot_03.mp4
2026-07-05 21:49,3,4,,,8,1080p,,105.0,0.525,ok,https://tempfile.aiquickdraw.com/v/0d9585891f1480b669b1573c23a7bbd4_1783288132.mp4,/home/runner/work/youtube-automation/youtube-automation/output/series/drowned-history/episodes/ep03/shots/shot_04.mp4
